awsCategory,Code,Name,Summary,URL
Digital,ADV 492,Tech and Advertising Campaigns,"Required for CS+ADV majors. Gain hands-on experience in completing a technology-driven advertising campaign. Students will participate in engineering, advertising and project management activities with individual as well as team responsibilities... (more on Explorer) Taught by Dr. Ewa Maslowska. You may also like: ADV 461, 491, and all of the digital 490s.",https://courses.illinois.edu/schedule/2023/fall/ADV/492
Creative,ADV 290,Adventures in Creative,"Try this sampler of creative areas from a mix of faculty and professionals. In this hands-on project course, students will learn how to tell brand stories across multiple media. you’ll practice making brand stories for print, social media, video, and podcasts... (more on Explorer) You may also like: ADV 150, 201, 290, 452, 490.",https://courses.illinois.edu/schedule/2023/fall/ADV/290
Creative,ADV 390,Content Creation,"Explores theories of creativity; situates creativity and creative practices within the social structure of organizations that develop creative content; examines the relationship between creative strategy… (more on Explorer) Required for Advertising majors. Taught by Peter Sheldon. You may also like: ADV 290, 452, 454, 400, 490.",https://courses.illinois.edu/schedule/2023/fall/ADV/390
Creative,ADV 452,Creative Concepts I,"Planning and execution of advertising across media, with emphasis on the creation of campaigns. Admission based on successful completion of special project... (more on Explorer) Sets up ADV 454. Taught by Peter Sheldon. You may also like: ADV 290 (Adventures in Creative), 311, 400 (Sandage Studios and NSAC Course), 490 (Copywriting).",https://courses.illinois.edu/schedule/2023/fall/ADV/452
Creative,ADV 454,Creative Concepts II,,
Creative,ADV 490,Copywriting,,https://courses.illinois.edu/schedule/2023/fall/ADV/490
Campaigns,ADV 311,Classic Campaigns,,
Campaigns,ADV 400,Sandage Studies,"This hands-on course has students plan, develop and execute ad campaigns for real clients. Simulates an agency experience where students hone specialized skills in research, strategy, creative, media and/or leadership... (more on Explorer) Taught by Shachar Meron. You may also like: ADV 290, 392, 400, 409, 452.",https://courses.illinois.edu/schedule/2023/fall/ADV/400
Campaigns,ADV 400,National Student Adv Competition,"This course is affiliated with planning work for the AAF National Student Advertising Competition in Spring 2024. The fall semester is heavily focused on research and strategy for the competition... (more on Explorer) Instructor approval required. You may also like: ADV 400 (Sandage Studios), 290 (Adventures in Creative), 393, 396, 452.",https://courses.illinois.edu/schedule/2023/fall/ADV/400
Campaigns,ADV 498,Sandage Project,"Required capstone for Ad majors. In this course, students will integrate the concepts, experiences, and skills that have been learned in the curriculum with a service-learning project. This course is named after the founder of the Advertising Department... (more on Explorer) Taught by Marisa Peacock. You may also like: ADV 201, 400 (Sandage Studios or NSAC Course), ADV 452, 290 (Adventures in Creative).",https://courses.illinois.edu/schedule/2023/fall/ADV/498
Strategy,ADV 250,Advertising & Brand Strategy,"Required for Ad majors.(Formerly ADV 283) This class is all about brands: what they are, how they operate, how they're shaped, launched, communicated. Focus on brand strategy and developing ad campaigns... (more on Explorer) Taught by Shachar Meron. You might also like: ADV 150, 311, 390, 393, 400.",https://courses.illinois.edu/schedule/2023/fall/ADV/250
Strategy,ADV 284,Consumer Insights,"Required for Ad majors. Course focuses on methods of eliciting consumer insight. In particular, this class introduces the process and applied outcomes of consumer insight in terms of building… (more on Explorer) Taught by W. Liu, U. Chung, V. Paltaratskaya. You might also like: ADV 311, 393, 396, 476, 478.",https://courses.illinois.edu/schedule/2023/fall/ADV/284
Strategy,ADV 290,Cultural Intelligence,"This course will focus on exploring, analyzing and thinking strategically about culture – with an emphasis on how it relates to brands, advertising and media. Students will be able to leverage their curiosity about the world... (more on Explorer) Taught by Steve Hall. You may also like: ADV 150, 199, 290, 392, 393.",https://courses.illinois.edu/schedule/2023/fall/ADV/290
Strategy,ADV 393,Advertising and Society,"Provides a critical understanding of advertising's role in modern society. Advertising will be studied as a cultural force and social institution... (more on Explorer) Eligible for Gen Ed credit (social & beh sci - social sci) and PR minor. You may also like: ADV 175, 290 (Cultural Intelligence), 305, 476, 478.",https://courses.illinois.edu/schedule/2023/fall/ADV/393
Strategy,ADV 476,Global Advertising,,
Strategy,ADV 478,Pyschology of Advertising,,
Strategy,ADV 497,Colloquium in Advertising,"Current advertising topics, cases, and research presented in a forum that fosters critical thinking and engagement. Weekly presentation and discussion of research and cases by faculty, undergrad/grad students, visiting scholars and visiting professionals... (more on Explorer) Taught by Dr. Chang-Dae Ham. You may also like: ADV 393, 396, 482, 484, 496.",https://courses.illinois.edu/schedule/2023/fall/ADV/497
Research,ADV 281,Advertising Research Methods,"Required for Ad majors. Introduces students to the wide spectrum of qualitative and quantitative research techniques that are commonly used in the advertising industry. In addition to examining the… (more on Explorer) Taught by Dr. Patrick Vargas. Available online in summer. You might also like: ADV 200, 290, 396, 484, 496.",https://courses.illinois.edu/schedule/2023/fall/ADV/281
Research,ADV 290,Independent Study in Research,,
Research,ADV 396,Research Experience in Advertising,"Supervised participation in research and scholarly activities, usually as an assistant to an investigator... (more on Explorer) You may also like: ADV 290, 482, 484, 486, 490.",https://courses.illinois.edu/schedule/2023/fall/ADV/396
Research,ADV 482,Qualitative Research Methods in Advertising,,
Research,ADV 484,Quantitative Research Methods in Advertising,,
